No.;time;;time 1;time 2;Delay;;Delay 1;Delay 2;jitter
87;19,278742;;19,278742;19,278742;0;;-5,5E-05;-0,009467;-0,009412
88;19,278742;;19,278742;19,278797;5,5E-05;;-0,009467;0,009522;0,018989
89;19,278797;;19,278797;19,288319;0,009522;;0,009522;-0,830566;-0,840088
90;19,288319;;19,288319;19,288319;0;;-0,830566;0,763832;1,594398
91;19,288319;;19,288319;20,118885;0,830566;;0,763832;0,025793;-0,738039
93;20,118885;;20,118885;20,185619;0,066734;;0,025793;-7,474995;-7,500788
94;20,185619;;20,185619;20,22656;0,040941;;-7,474995;7,076873;14,551868
95;20,22656;;20,22656;27,742496;7,515936;;7,076873;0,401991;-6,674882
101;27,742496;;27,742496;28,181559;0,439063;;0,401991;-0,011062;-0,413053
102;28,181559;;28,181559;28,218631;0,037072;;-0,011062;-0,441179;-0,430117
103;28,218631;;28,218631;28,266765;0,048134;;-0,441179;-0,226656;0,214523
104;28,266765;;28,266765;28,756078;0,489313;;-0,226656;0,715969;0,942625
105;28,756078;;28,756078;29,472047;0,715969;;0,715969;-0,047431;-0,7634
106;29,472047;;29,472047;29,472047;0;;-0,047431;-2,73435;-2,686919
107;29,472047;;29,472047;29,519478;0,047431;;-2,73435;2,139153;4,873503
109;29,519478;;29,519478;32,301259;2,781781;;2,139153;0,428407;-1,710746
113;32,301259;;32,301259;32,943887;0,642628;;0,428407;0,160483;-0,267924
115;32,943887;;32,943887;33,158108;0,214221;;0,160483;-3,914953;-4,075436
116;33,158108;;33,158108;33,211846;0,053738;;-3,914953;3,716122;7,631075
117;33,211846;;33,211846;37,180537;3,968691;;3,716122;-0,135484;-3,851606
121;37,180537;;37,180537;37,433106;0,252569;;-0,135484;0,387949;0,523433
123;37,433106;;37,433106;37,821159;0,388053;;0,387949;-0,003629;-0,391578
125;37,821159;;37,821159;37,821263;0,000104;;-0,003629;0,003361;0,00699
126;37,821263;;37,821263;37,824996;0,003733;;0,003361;-0,000156;-0,003517
127;37,824996;;37,824996;37,825368;0,000372;;-0,000156;-0,116346;-0,11619
128;37,825368;;37,825368;37,825896;0,000528;;-0,116346;0,116792;0,233138
129;37,825896;;37,825896;37,94277;0,116874;;0,116792;-0,002843;-0,119635
130;37,94277;;37,94277;37,942852;8,2E-05;;-0,002843;0,002669;0,005512
131;37,942852;;37,942852;37,945777;0,002925;;0,002669;0,000207;-0,002462
132;37,945777;;37,945777;37,946033;0,000256;;0,000207;-0,005801;-0,006008
133;37,946033;;37,946033;37,946082;4,9E-05;;-0,005801;0,00585;0,011651
134;37,946082;;37,946082;37,951932;0,00585;;0,00585;-0,000715;-0,006565
135;37,951932;;37,951932;37,951932;0;;-0,000715;0,000715;0,00143
136;37,951932;;37,951932;37,952647;0,000715;;0,000715;-9,4E-05;-0,000809
137;37,952647;;37,952647;37,952647;0;;-9,4E-05;-0,000453;-0,000359
138;37,952647;;37,952647;37,952741;9,4E-05;;-0,000453;0,000336;0,000789
139;37,952741;;37,952741;37,953288;0,000547;;0,000336;-0,001767;-0,002103
140;37,953288;;37,953288;37,953499;0,000211;;-0,001767;-0,009773;-0,008006
141;37,953499;;37,953499;37,955477;0,001978;;-0,009773;0,011699;0,021472
142;37,955477;;37,955477;37,967228;0,011751;;0,011699;-0,000291;-0,01199
143;37,967228;;37,967228;37,96728;5,2E-05;;-0,000291;-0,097965;-0,097674
144;37,96728;;37,96728;37,967623;0,000343;;-0,097965;0,098308;0,196273
145;37,967623;;37,967623;38,065931;0,098308;;0,098308;-0,017947;-0,116255
146;38,065931;;38,065931;38,065931;0;;-0,017947;0,017947;0,035894
147;38,065931;;38,065931;38,083878;0,017947;;0,017947;-0,000107;-0,018054
148;38,083878;;38,083878;38,083878;0;;-0,000107;-5,1E-05;5,6E-05
149;38,083878;;38,083878;38,083985;0,000107;;-5,1E-05;-0,000951;-0,0009
150;38,083985;;38,083985;38,084143;0,000158;;-0,000951;0,000354;0,001305
151;38,084143;;38,084143;38,085252;0,001109;;0,000354;-0,00219;-0,002544
152;38,085252;;38,085252;38,086007;0,000755;;-0,00219;0,002856;0,005046
153;38,086007;;38,086007;38,088952;0,002945;;0,002856;-0,040802;-0,043658
154;38,088952;;38,088952;38,089041;8,9E-05;;-0,040802;0,040424;0,081226
155;38,089041;;38,089041;38,129932;0,040891;;0,040424;-0,04982;-0,090244
158;38,129932;;38,129932;38,130399;0,000467;;-0,04982;0,050242;0,100062
159;38,130399;;38,130399;38,180686;0,050287;;0,050242;-1,87517;-1,925412
160;38,180686;;38,180686;38,180731;4,5E-05;;-1,87517;1,621214;3,496384
161;38,180731;;38,180731;40,055946;1,875215;;1,621214;0,225349;-1,395865
167;40,055946;;40,055946;40,309947;0,254001;;0,225349;0,028521;-0,196828
169;40,309947;;40,309947;40,338599;0,028652;;0,028521;-0,004874;-0,033395
171;40,338599;;40,338599;40,33873;0,000131;;-0,004874;0,004534;0,009408
172;40,33873;;40,33873;40,343735;0,005005;;0,004534;0,000349;-0,004185
176;40,343735;;40,343735;40,344206;0,000471;;0,000349;-0,087415;-0,087764
177;40,344206;;40,344206;40,344328;0,000122;;-0,087415;0,087537;0,174952
178;40,344328;;40,344328;40,431865;0,087537;;0,087537;-0,000157;-0,087694
181;40,431865;;40,431865;40,431865;0;;-0,000157;-6,4E-05;9,3E-05
182;40,431865;;40,431865;40,432022;0,000157;;-6,4E-05;0,000221;0,000285
183;40,432022;;40,432022;40,432243;0,000221;;0,000221;0;-0,000221
184;40,432243;;40,432243;40,432243;0;;0;0;0
186;40,432243;;40,432243;40,432243;0;;0;-0,000187;-0,000187
187;40,432243;;40,432243;40,432243;0;;-0,000187;-0,004691;-0,004504
188;40,432243;;40,432243;40,43243;0,000187;;-0,004691;0,004436;0,009127
189;40,43243;;40,43243;40,437308;0,004878;;0,004436;0,00033;-0,004106
190;40,437308;;40,437308;40,43775;0,000442;;0,00033;-0,001917;-0,002247
191;40,43775;;40,43775;40,437862;0,000112;;-0,001917;-7,1E-05;0,001846
192;40,437862;;40,437862;40,439891;0,002029;;-7,1E-05;-0,115261;-0,11519
193;40,439891;;40,439891;40,441991;0,0021;;-0,115261;0,117361;0,232622
194;40,441991;;40,441991;40,559352;0,117361;;0,117361;-0,0272;-0,144561
202;40,559352;;40,559352;40,559352;0;;-0,0272;0,026288;0,053488
203;40,559352;;40,559352;40,586552;0,0272;;0,026288;0,000912;-0,025376
204;40,586552;;40,586552;40,587464;0,000912;;0,000912;-3,6E-05;-0,000948
205;40,587464;;40,587464;40,587464;0;;-3,6E-05;-4,5E-05;-9E-06
206;40,587464;;40,587464;40,5875;3,6E-05;;-4,5E-05;-0,00059;-0,000545
207;40,5875;;40,5875;40,587581;8,1E-05;;-0,00059;-0,00114;-0,00055
208;40,587581;;40,587581;40,588252;0,000671;;-0,00114;0,001721;0,002861
209;40,588252;;40,588252;40,590063;0,001811;;0,001721;-0,039234;-0,040955
210;40,590063;;40,590063;40,590153;9E-05;;-0,039234;0,003714;0,042948
211;40,590153;;40,590153;40,629477;0,039324;;0,003714;0,02053;0,016816
213;40,629477;;40,629477;40,665087;0,03561;;0,02053;0,01508;-0,00545
214;40,665087;;40,665087;40,680167;0,01508;;0,01508;-7,3E-05;-0,015153
215;40,680167;;40,680167;40,680167;0;;-7,3E-05;-1,654054;-1,653981
216;40,680167;;40,680167;40,68024;7,3E-05;;-1,654054;1,641447;3,295501
217;40,68024;;40,68024;42,334367;1,654127;;1,641447;-0,163652;-1,805099
227;42,334367;;42,334367;42,347047;0,01268;;-0,163652;0,176269;0,339921
230;42,347047;;42,347047;42,523379;0,176332;;0,176269;-0,000366;-0,176635
235;42,523379;;42,523379;42,523442;6,3E-05;;-0,000366;-0,005854;-0,005488
236;42,523442;;42,523442;42,523871;0,000429;;-0,005854;0,005831;0,011685
